FID,Shape *,Evento,PC1_woe,PC2_woe,V2X_woe,X1R_woe,X3R_woe
189,Point ZM,1,0.496723,0.616158,-0.682033,0.165285,0.083882
191,Point ZM,1,0.965277,0.616158,-0.682033,0.165285,0.17043
195,Point ZM,1,0.496723,0.304827,-0.682033,0.165285,0.17043
196,Point ZM,1,0.965277,0.304827,-0.682033,0.165285,0.083882
197,Point ZM,1,0.965277,0.616158,-0.682033,0.165285,0.083882
198,Point ZM,1,0.965277,0.304827,-0.682033,0.165285,0.17043
199,Point ZM,1,0.965277,0.304827,-0.682033,0.165285,0.17043
200,Point ZM,1,0.965277,0.304827,-0.682033,0.165285,0.17043
204,Point ZM,1,0.496723,0.304827,-0.682033,0.165285,0.083882
205,Point ZM,1,0.496723,-0.159533,1.36214,0.165285,0.083882
219,Point ZM,1,0.496723,0.304827,0.143557,0.165285,-0.809453
220,Point ZM,1,0.965277,0.304827,0.143557,0.165285,-0.809453
221,Point ZM,1,0.496723,-0.159533,0.143557,0.165285,0.17043
224,Point ZM,1,0.965277,0.304827,0.143557,0.165285,0.17043
225,Point ZM,1,0.965277,0.304827,0.143557,0.165285,0.083882
226,Point ZM,1,0.965277,-0.159533,0.341524,0.165285,-0.809453
232,Point ZM,1,0.965277,0.616158,0.143557,0.165285,0.17043
233,Point ZM,1,0.496723,0.616158,0.143557,0.165285,0.543944
234,Point ZM,1,0.965277,0.304827,0.143557,0.165285,0.17043
238,Point ZM,1,0.496723,0.616158,0.143557,0.165285,0.543944
240,Point ZM,1,0.496723,0.616158,-0.202755,0.165285,0.17043
241,Point ZM,1,0.496723,0.304827,1.60759,0.165285,-0.809453
242,Point ZM,1,0.965277,0.616158,1.60759,0.165285,0.083882
243,Point ZM,1,0.965277,0.304827,1.60759,0.165285,0.543944
258,Point ZM,1,0.496723,-0.159533,1.20354,0.165285,0.543944
259,Point ZM,1,-0.431997,0.304827,1.20354,0.165285,0.083882
265,Point ZM,1,0.496723,-0.159533,0.341524,0.165285,0.083882
266,Point ZM,1,0.965277,0.304827,0.308424,0.165285,0.17043
268,Point ZM,1,-0.873904,0.616158,-0.682033,0.165285,-0.809453
