PROCESO,x4,pc1,pc2,pc3,pc4,v1x,v2x,v3x,x1,x2,x3
0,0.0655,-0.0337,0.0101,-1.5198,0.6424,1.0000,68.0000,1.0000,362.1401,1472.3475,294.3094
0,0.0518,-0.7495,-1.2756,-0.6959,1.0001,1.0000,64.0000,1.0000,535.7798,1171.5042,67.1756
0,0.0462,-0.7945,0.7590,-1.9870,0.2920,1.0000,68.0000,1.0000,474.1088,1593.4596,170.2565
0,0.3861,-0.3552,0.7039,-1.7259,-0.6045,12.0000,62.0000,12.0000,172.3565,2064.1728,1524.5834
0,0.3953,-0.0296,0.2455,-1.4589,-0.6489,12.0000,62.0000,12.0000,355.9789,1748.4303,1455.8130
0,0.4379,0.0768,-1.5087,-0.2442,-0.2237,16.0000,61.0000,16.0000,48.7988,1956.2401,1215.9905
0,0.2322,-1.2238,0.4701,-1.5085,-0.1223,9.0000,62.0000,9.0000,88.6757,1148.6610,279.2821
0,0.3681,-0.4161,0.6284,-1.7330,-0.2830,16.0000,62.0000,16.0000,22.2045,961.2582,365.5006
0,0.4606,0.1730,-1.5162,-0.3851,0.1336,12.0178,62.0000,12.0178,15.9880,700.3672,762.2878
0,0.3515,-0.6587,0.3441,-1.2734,-0.6707,17.6217,62.0000,17.6217,2.5077,1064.7097,392.5008
0,0.2228,-1.2548,0.1536,-0.8763,-0.6614,16.0000,62.0000,16.0000,17.9638,2461.0406,122.1429
0,0.4628,-0.1706,0.1333,-1.1137,-0.8748,10.0000,62.0000,10.0000,88.4806,1961.8843,218.8183
0,0.0569,0.1556,-1.1933,-0.6752,-0.0367,14.0000,6.0000,14.0000,73.9739,1198.8565,121.2489
0,0.0536,0.3022,0.6252,-1.8182,-0.6105,14.0000,6.0000,14.0000,150.0698,1239.7646,101.9613
0,0.0722,0.5920,-1.0990,-0.4880,-0.3684,12.0000,6.0000,12.0000,148.5418,1070.6380,77.0122
